metric,variant,subgroup,geo_type,geo_id,window_start,golden_value,golden_n,recomputed_value,recomputed_n,agree,differs_in
median_business_days_to_close,primary,EE-Illegal Dumping,citywide,4748000,2024-07-01,15,84,15.0,84,True,
median_business_days_to_close,primary,EE-Illegal Dumping,citywide,4748000,2025-04-02,9,21,9.0,21,True,
median_business_days_to_close,primary,EE-Illegal Dumping,council_district,5,2024-07-01,15,84,15.0,84,True,
median_business_days_to_close,primary,EE-Illegal Dumping,council_district,5,2025-04-02,9,21,9.0,21,True,
median_business_days_to_close,primary,EE-Illegal Dumping,reference_neighborhood,East Memphis,2024-07-01,NA,6,,6,True,
median_business_days_to_close,primary,EE-Illegal Dumping,reference_neighborhood,East Memphis,2025-04-02,NA,3,,3,True,
median_business_days_to_close,primary,EE-Illegal Dumping,reference_neighborhood,Midtown,2024-07-01,15,41,15.0,41,True,
median_business_days_to_close,primary,EE-Illegal Dumping,reference_neighborhood,Midtown,2025-04-02,NA,9,,9,True,
median_business_days_to_close,primary,EE-Illegal Dumping,super_district,9,2024-07-01,15,84,15.0,84,True,
median_business_days_to_close,primary,EE-Illegal Dumping,super_district,9,2025-04-02,9,21,9.0,21,True,
median_business_days_to_close,primary,EE-Illegal Dumping,zcta,38104,2024-07-01,NA,4,,4,True,
median_business_days_to_close,primary,EE-Illegal Dumping,zcta,38107,2024-07-01,NA,1,,1,True,
median_business_days_to_close,primary,EE-Illegal Dumping,zcta,38108,2024-07-01,NA,2,,2,True,
median_business_days_to_close,primary,EE-Illegal Dumping,zcta,38111,2024-07-01,NA,18,,18,True,
median_business_days_to_close,primary,EE-Illegal Dumping,zcta,38111,2025-04-02,NA,6,,6,True,
median_business_days_to_close,primary,EE-Illegal Dumping,zcta,38112,2024-07-01,14,37,14.0,37,True,
median_business_days_to_close,primary,EE-Illegal Dumping,zcta,38112,2025-04-02,NA,9,,9,True,
median_business_days_to_close,primary,EE-Illegal Dumping,zcta,38117,2024-07-01,NA,6,,6,True,
median_business_days_to_close,primary,EE-Illegal Dumping,zcta,38117,2025-04-02,NA,3,,3,True,
median_business_days_to_close,primary,EE-Illegal Dumping,zcta,38122,2024-07-01,NA,16,,16,True,
median_business_days_to_close,primary,EE-Illegal Dumping,zcta,38122,2025-04-02,NA,3,,3,True,
median_business_days_to_close,primary,PW (SM)-Potholes,citywide,4748000,2024-07-01,1,389,1.0,389,True,
median_business_days_to_close,primary,PW (SM)-Potholes,citywide,4748000,2025-04-02,1,179,1.0,179,True,
median_business_days_to_close,primary,PW (SM)-Potholes,council_district,4,2024-07-01,NA,2,,2,True,
median_business_days_to_close,primary,PW (SM)-Potholes,council_district,4,2025-04-02,NA,1,,1,True,
median_business_days_to_close,primary,PW (SM)-Potholes,council_district,5,2024-07-01,1,387,1.0,387,True,
median_business_days_to_close,primary,PW (SM)-Potholes,council_district,5,2025-04-02,1,178,1.0,178,True,
median_business_days_to_close,primary,PW (SM)-Potholes,reference_neighborhood,East Memphis,2024-07-01,1,98,1.0,98,True,
median_business_days_to_close,primary,PW (SM)-Potholes,reference_neighborhood,East Memphis,2025-04-02,1,48,1.0,48,True,
median_business_days_to_close,primary,PW (SM)-Potholes,reference_neighborhood,Midtown,2024-07-01,1,123,1.0,123,True,
median_business_days_to_close,primary,PW (SM)-Potholes,reference_neighborhood,Midtown,2025-04-02,1,69,1.0,69,True,
median_business_days_to_close,primary,PW (SM)-Potholes,super_district,9,2024-07-01,1,389,1.0,389,True,
median_business_days_to_close,primary,PW (SM)-Potholes,super_district,9,2025-04-02,1,179,1.0,179,True,
median_business_days_to_close,primary,PW (SM)-Potholes,zcta,38104,2024-07-01,1,21,1.0,21,True,
median_business_days_to_close,primary,PW (SM)-Potholes,zcta,38104,2025-04-02,NA,7,,7,True,
median_business_days_to_close,primary,PW (SM)-Potholes,zcta,38107,2024-07-01,NA,4,,4,True,
median_business_days_to_close,primary,PW (SM)-Potholes,zcta,38107,2025-04-02,NA,3,,3,True,
median_business_days_to_close,primary,PW (SM)-Potholes,zcta,38108,2024-07-01,NA,4,,4,True,
median_business_days_to_close,primary,PW (SM)-Potholes,zcta,38108,2025-04-02,NA,4,,4,True,
median_business_days_to_close,primary,PW (SM)-Potholes,zcta,38111,2024-07-01,1,101,1.0,101,True,
median_business_days_to_close,primary,PW (SM)-Potholes,zcta,38111,2025-04-02,1,38,1.0,38,True,
median_business_days_to_close,primary,PW (SM)-Potholes,zcta,38112,2024-07-01,1,102,1.0,102,True,
median_business_days_to_close,primary,PW (SM)-Potholes,zcta,38112,2025-04-02,1,62,1.0,62,True,
median_business_days_to_close,primary,PW (SM)-Potholes,zcta,38117,2024-07-01,1,82,1.0,82,True,
median_business_days_to_close,primary,PW (SM)-Potholes,zcta,38117,2025-04-02,1,39,1.0,39,True,
median_business_days_to_close,primary,PW (SM)-Potholes,zcta,38120,2024-07-01,NA,16,,16,True,
median_business_days_to_close,primary,PW (SM)-Potholes,zcta,38120,2025-04-02,NA,9,,9,True,
median_business_days_to_close,primary,PW (SM)-Potholes,zcta,38122,2024-07-01,1,59,1.0,59,True,
median_business_days_to_close,primary,PW (SM)-Potholes,zcta,38122,2025-04-02,NA,17,,17,True,
median_business_days_to_close,primary,SWM-Missed Bulk Trash,citywide,4748000,2024-07-01,6,1516,6.0,1516,True,
median_business_days_to_close,primary,SWM-Missed Bulk Trash,citywide,4748000,2025-04-02,7,391,7.0,391,True,
median_business_days_to_close,primary,SWM-Missed Bulk Trash,council_district,5,2024-07-01,6,1516,6.0,1516,True,
median_business_days_to_close,primary,SWM-Missed Bulk Trash,council_district,5,2025-04-02,7,391,7.0,391,True,
median_business_days_to_close,primary,SWM-Missed Bulk Trash,reference_neighborhood,East Memphis,2024-07-01,7,516,7.0,516,True,
median_business_days_to_close,primary,SWM-Missed Bulk Trash,reference_neighborhood,East Memphis,2025-04-02,6,163,6.0,163,True,
median_business_days_to_close,primary,SWM-Missed Bulk Trash,reference_neighborhood,Midtown,2024-07-01,5,296,5.0,296,True,
median_business_days_to_close,primary,SWM-Missed Bulk Trash,reference_neighborhood,Midtown,2025-04-02,9,50,9.0,50,True,
median_business_days_to_close,primary,SWM-Missed Bulk Trash,super_district,9,2024-07-01,6,1516,6.0,1516,True,
median_business_days_to_close,primary,SWM-Missed Bulk Trash,super_district,9,2025-04-02,7,391,7.0,391,True,
median_business_days_to_close,primary,SWM-Missed Bulk Trash,zcta,38104,2024-07-01,7,36,7.0,36,True,
median_business_days_to_close,primary,SWM-Missed Bulk Trash,zcta,38104,2025-04-02,NA,5,,5,True,
median_business_days_to_close,primary,SWM-Missed Bulk Trash,zcta,38107,2024-07-01,5,35,5.0,35,True,
median_business_days_to_close,primary,SWM-Missed Bulk Trash,zcta,38107,2025-04-02,NA,6,,6,True,
