# reopen_rate | PW (SM)-Potholes | zcta 38117 | window from 2025-04-02 to 2025-06-30 | value 0.03333333333333333 | CI 0.005908590381612455 to 0.16670390991409173 | n 30
sr_id,open_date_local,close_date_local,state_closed,business_days_to_close,age_business_days_at_through,days_to_first_rereport_within_50m,reviewer_agrees,reviewer_notes
7230207,2025-04-01,2025-04-03,True,2,60,,,
7231443,2025-04-03,2025-04-11,True,5,58,,,
7231489,2025-04-04,2025-04-11,True,5,58,,,
7231950,2025-04-07,2025-04-07,True,0,57,,,
7232453,2025-04-07,2025-04-09,True,2,57,,,
7233226,2025-04-08,2025-04-16,True,6,56,,,
7233539,2025-04-09,2025-04-11,True,2,55,,,
7233755,2025-04-09,2025-04-10,True,1,55,,,
7233765,2025-04-09,2025-04-10,True,1,55,,,
7233789,2025-04-09,2025-04-10,True,1,55,,,
7234312,2025-04-10,2025-04-11,True,1,54,,,
7235027,2025-04-11,2025-04-12,True,0,53,,,
7236203,2025-04-14,2025-04-15,True,1,52,,,
7236732,2025-04-15,2025-04-17,True,2,51,18,,
7237456,2025-04-16,2025-04-21,True,2,50,,,
7237714,2025-04-17,2025-04-17,True,0,49,,,
7238302,2025-04-19,2025-04-24,True,4,49,,,
7238459,2025-04-20,2025-04-23,True,3,49,,,
7238530,2025-04-21,2025-04-24,True,3,48,,,
7238963,2025-04-21,2025-04-29,True,6,48,,,
7239373,2025-04-22,2025-04-24,True,2,47,,,
7239804,2025-04-22,2025-04-22,True,0,47,,,
7240487,2025-04-23,2025-04-25,True,2,46,,,
7241741,2025-04-27,2025-04-28,True,1,44,,,
7242258,2025-04-28,2025-04-29,True,1,43,,,
7244191,2025-05-01,2025-05-02,True,1,40,33,,
7245067,2025-05-05,2025-05-05,True,0,38,,,
7249045,2025-05-13,2025-05-15,True,2,32,,,
7255668,2025-05-27,2025-05-27,True,0,23,,,
7257234,2025-05-28,2025-05-29,True,1,22,,,
