sr_id,request_type,status,opened_local,close_date,close_problem,business_days_to_close,age_business_days,zcta,council_district,h3_cell,duplicate_of,auto_found_in_source,auto_type_matches,auto_status_now,auto_opened_local,auto_opened_matches,auto_close_date_now,auto_close_matches,auto_business_days,auto_age_business_days,auto_business_days_match,auto_age_matches,auto_lon,auto_lat,auto_in_city,auto_zcta,auto_council_district,auto_geography_matches,auto_earlier_same_type_within_50m_7d,auto_summary,source_lookup_url,map_url,1_found_in_source,2_dates_match,3_location_matches,4_business_days_correct,5_geography_correct,auditor,notes
7194605,SWM-Missed Bulk Trash,Closed,2024-12-22 13:34,2025-05-18,,98,434,38016,1,892659b6c47ffff,,yes,yes,Closed,2024-12-22 13:34,yes,2025-05-18,yes,98,434,yes,yes,-89.760014,35.17669,yes,38016,1,yes,,ok,https://311.memphistn.gov/server/rest/services/311/311_Request_Map_PROD/FeatureServer/0/query?where=INCIDENT_NUMBER%3D%277194605%27&outFields=INCIDENT_NUMBER%2CREQUEST_TYPE%2CREQUEST_STATUS%2Ccreated_date%2CClosed_Date&outSR=4326&returnGeometry=true&f=html,https://www.openstreetmap.org/?mlat=35.17669&mlon=-89.760014#map=18/35.17669/-89.760014,,,,,,,
8031604,SWM-Missed Bulk Trash,Closed,2026-08-07 13:32,2026-08-13,,4,33,38141,3,892659a4437ffff,,yes,yes,Closed,2026-08-07 13:32,yes,2026-08-13,yes,4,33,yes,yes,-89.850732,35.023317,yes,38141,3,yes,,ok,https://311.memphistn.gov/server/rest/services/311/311_Request_Map_PROD/FeatureServer/0/query?where=INCIDENT_NUMBER%3D%278031604%27&outFields=INCIDENT_NUMBER%2CREQUEST_TYPE%2CREQUEST_STATUS%2Ccreated_date%2CClosed_Date&outSR=4326&returnGeometry=true&f=html,https://www.openstreetmap.org/?mlat=35.023317&mlon=-89.850732#map=18/35.023317/-89.850732,,,,,,,
7402314,EN-Sidewalk Inspection,Closed,2026-05-16 17:01,2026-06-09,,16,90,38117,5,892659a29a3ffff,,yes,yes,Closed,2026-05-16 17:01,yes,2026-06-09,yes,16,90,yes,yes,-89.90667,35.097324,yes,38117,5,yes,,ok,https://311.memphistn.gov/server/rest/services/311/311_Request_Map_PROD/FeatureServer/0/query?where=INCIDENT_NUMBER%3D%277402314%27&outFields=INCIDENT_NUMBER%2CREQUEST_TYPE%2CREQUEST_STATUS%2Ccreated_date%2CClosed_Date&outSR=4326&returnGeometry=true&f=html,https://www.openstreetmap.org/?mlat=35.097324&mlon=-89.90667#map=18/35.097324/-89.90667,,,,,,,
7195113,CE-Vehicle Violations,Closed,2024-12-24 14:26,2024-12-26,,1,433,38018,2,892659b4cd7ffff,,yes,yes,Closed,2024-12-24 14:26,yes,2024-12-26,yes,1,433,yes,yes,-89.790945,35.135872,yes,38018,2,yes,,ok,https://311.memphistn.gov/server/rest/services/311/311_Request_Map_PROD/FeatureServer/0/query?where=INCIDENT_NUMBER%3D%277195113%27&outFields=INCIDENT_NUMBER%2CREQUEST_TYPE%2CREQUEST_STATUS%2Ccreated_date%2CClosed_Date&outSR=4326&returnGeometry=true&f=html,https://www.openstreetmap.org/?mlat=35.135872&mlon=-89.790945#map=18/35.135872/-89.790945,,,,,,,
7310288,SWM-Garbage Missed,Closed,2025-08-15 14:45,2025-08-19,,2,274,38134,1,892659b4297ffff,7307083,yes,yes,Closed,2025-08-15 14:45,yes,2025-08-19,yes,2,274,yes,yes,-89.845543,35.160658,yes,38134,1,yes,7308783 7309446 7307723 7307083 7308606,ok,https://311.memphistn.gov/server/rest/services/311/311_Request_Map_PROD/FeatureServer/0/query?where=INCIDENT_NUMBER%3D%277310288%27&outFields=INCIDENT_NUMBER%2CREQUEST_TYPE%2CREQUEST_STATUS%2Ccreated_date%2CClosed_Date&outSR=4326&returnGeometry=true&f=html,https://www.openstreetmap.org/?mlat=35.160658&mlon=-89.845543#map=18/35.160658/-89.845543,,,,,,,
7195746,SWM-Garbage Missed,Closed,2024-12-27 08:51,2025-04-07,,67,431,38127,7,892659b0e5bffff,,yes,yes,Closed,2024-12-27 08:51,yes,2025-04-07,yes,67,431,yes,yes,-89.966981,35.234812,yes,38127,7,yes,,ok,https://311.memphistn.gov/server/rest/services/311/311_Request_Map_PROD/FeatureServer/0/query?where=INCIDENT_NUMBER%3D%277195746%27&outFields=INCIDENT_NUMBER%2CREQUEST_TYPE%2CREQUEST_STATUS%2Ccreated_date%2CClosed_Date&outSR=4326&returnGeometry=true&f=html,https://www.openstreetmap.org/?mlat=35.234812&mlon=-89.966981#map=18/35.234812/-89.966981,,,,,,,
8052073,SWM-Dead Animal Collection,Closed,2026-09-21 08:46,2026-09-21,,0,3,38122,5,892659a2537ffff,,yes,yes,Closed,2026-09-21 08:46,yes,2026-09-21,yes,0,3,yes,yes,-89.934984,35.165802,yes,38122,5,yes,,ok,https://311.memphistn.gov/server/rest/services/311/311_Request_Map_PROD/FeatureServer/0/query?where=INCIDENT_NUMBER%3D%278052073%27&outFields=INCIDENT_NUMBER%2CREQUEST_TYPE%2CREQUEST_STATUS%2Ccreated_date%2CClosed_Date&outSR=4326&returnGeometry=true&f=html,https://www.openstreetmap.org/?mlat=35.165802&mlon=-89.934984#map=18/35.165802/-89.934984,,,,,,,
7127753,CE-Vehicle Violations,Closed,2024-06-24 17:13,2025-01-09,,135,558,38117,5,892659a292bffff,,yes,yes,Closed,2024-06-24 17:13,yes,2025-01-09,yes,135,558,yes,yes,-89.913164,35.089466,yes,38117,5,yes,,ok,https://311.memphistn.gov/server/rest/services/311/311_Request_Map_PROD/FeatureServer/0/query?where=INCIDENT_NUMBER%3D%277127753%27&outFields=INCIDENT_NUMBER%2CREQUEST_TYPE%2CREQUEST_STATUS%2Ccreated_date%2CClosed_Date&outSR=4326&returnGeometry=true&f=html,https://www.openstreetmap.org/?mlat=35.089466&mlon=-89.913164#map=18/35.089466/-89.913164,,,,,,,
7014370,SWM-Pick-Up Extra Cart,Closed,2023-11-30 14:44,2024-01-22,,33,696,38115,4,892659a7193ffff,,yes,yes,Closed,2023-11-30 14:44,yes,2024-01-22,yes,33,696,yes,yes,-89.872504,35.05568,yes,38115,4,yes,,ok,https://311.memphistn.gov/server/rest/services/311/311_Request_Map_PROD/FeatureServer/0/query?where=INCIDENT_NUMBER%3D%277014370%27&outFields=INCIDENT_NUMBER%2CREQUEST_TYPE%2CREQUEST_STATUS%2Ccreated_date%2CClosed_Date&outSR=4326&returnGeometry=true&f=html,https://www.openstreetmap.org/?mlat=35.05568&mlon=-89.872504#map=18/35.05568/-89.872504,,,,,,,
8021681,SWM-Cart Repair,Closed,2026-07-21 14:58,2026-07-31,,8,46,38117,5,892659b5377ffff,,yes,yes,Closed,2026-07-21 14:58,yes,2026-07-31,yes,8,46,yes,yes,-89.907586,35.134414,yes,38117,5,yes,,ok,https://311.memphistn.gov/server/rest/services/311/311_Request_Map_PROD/FeatureServer/0/query?where=INCIDENT_NUMBER%3D%278021681%27&outFields=INCIDENT_NUMBER%2CREQUEST_TYPE%2CREQUEST_STATUS%2Ccreated_date%2CClosed_Date&outSR=4326&returnGeometry=true&f=html,https://www.openstreetmap.org/?mlat=35.134414&mlon=-89.907586#map=18/35.134414/-89.907586,,,,,,,
