"sample_id","parcel_id","input","reference_lon","reference_lat","geocoder","matched_address","census_candidates","geocode_lon","geocode_lat","distance_m","same_cell","in_reference_disk","reference_zcta","geocode_zcta","reference_council_district","geocode_council_district","flag","reviewer_verdict","reviewer_notes"
1,"020037  00029","218 N MCNEIL ST, Memphis, TN",-90.011471,35.144406,"census","218 N MCNEIL ST, MEMPHIS, TN, 38112",1,-90.011556,35.145046,71.5,FALSE,TRUE,"38112","38112","5","5","","",""
2,"049076  00014","1985 BENTON ST, Memphis, TN",-90.035874,35.09289,"census","1985 BENTON ST, MEMPHIS, TN, 38106",1,-90.035567,35.09252,49.7,FALSE,TRUE,"38106","38106","6","6","","",""
3,"027011  00025","1003 N DUNLAP ST, Memphis, TN",-90.029736,35.168031,"census","1003 N DUNLAP ST, MEMPHIS, TN, 38107",1,-90.029689,35.167276,83.9,TRUE,TRUE,"38107","38107","7","7","","",""
4,"079110  00011","5157 DURANT ST, Memphis, TN",-90.019283,35.007687,"census","5157 DURANT ST, MEMPHIS, TN, 38116",1,-90.019182,35.008096,46.3,FALSE,TRUE,"38116","38116","3","3","","",""
5,"084007  00150","3124 TARANSAY RD, Memphis, TN",-89.959023,35.214111,"census","3124 TARANSAY RD, MEMPHIS, TN, 38128",1,-89.959536,35.214036,47.4,TRUE,TRUE,"38128","38128","1","1","","",""
6,"040025  00019","1228 LOUISVILLE AV, Memphis, TN",-90.015966,35.176095,"census","1228 LOUISVILLE AVE, MEMPHIS, TN, 38107",1,-90.016388,35.175962,41.2,TRUE,TRUE,"38107","38107","7","7","","",""
7,"034008  00042","1570 HUMBER ST, Memphis, TN",-90.045126,35.104239,"census","1570 HUMBER ST, MEMPHIS, TN, 38106",1,-90.045291,35.104148,18.1,TRUE,TRUE,"38106","38106","6","6","","",""
8,"071010  00008","1753 CARLYLE RD, Memphis, TN",-90.005315,35.233092,"census","1753 CARLYLE AVE, MEMPHIS, TN, 38127",1,-90.005178,35.233162,14.7,TRUE,TRUE,"38127","38127","7","7","","",""
9,"045113  00035","3368 DOUGLASS AV, Memphis, TN",-89.950307,35.109495,"census","3368 DOUGLASS AVE, MEMPHIS, TN, 38111",1,-89.95027,35.109367,14.6,TRUE,TRUE,"38111","38111","5","5","","",""
10,"060124  00045","2527 BRIAN CV, Memphis, TN",-89.978531,35.08668,"census","2527 BRIAN COVE, MEMPHIS, TN, 38114",1,-89.979081,35.086904,56,TRUE,TRUE,"38114","38114","4","4","","",""
