"cdc_service_area","area_km2","zips_by_area_share","draft_neighborhoods_touched"
"Alcy Ball Development Corp.",8.36,"38114 64%; 38106 36%","South Memphis"
"Binghampton Development Corp.",4.6,"38112 82%; 38111 18%","Midtown"
"Brinkley Heights CDC",7.94,"38122 70%; 38112 15%; 38108 12%; 38128 2%","Midtown; Raleigh"
"Center City Development Corporation",17.2,"38103 45%; 38107 22%; 38105 12%; 38104 8%; 38126 7%; 38106 5%","Downtown; Midtown; South Memphis"
"Central Business Improvement District",16.99,"38103 44%; 38107 22%; 38105 12%; 38106 8%; 38126 7%; 38104 7%","Downtown; Midtown; South Memphis"
"Central Gardens Association",2.09,"38104 100%","Midtown"
"Crosstown CDC",1.74,"38104 59%; 38107 19%; 38112 12%; 38105 10%","Downtown; Midtown"
"Douglass Cornerstone",1.21,"38108 100%",""
"Frayser CDC",60.3,"38127 100%","Frayser"
"Glenview CDC",1.31,"38114 53%; 38106 46%","South Memphis"
"Greater Whitehaven Economic Development Corp.",43.2,"38116 81%; 38109 19%","Whitehaven"
"Heights CDC",8.65,"38122 64%; 38112 22%; 38108 11%","Midtown"
"Hickory Hill Community Redevelopment Corp.",104.95,"38118 41%; 38115 21%; 38141 19%; 38125 18%",""
"Hyde Park CDC",7.34,"38108 68%; 38127 22%; 38107 9%","Frayser"
"Jacobs Ladder",0.79,"38111 96%; 38104 4%","Midtown"
"Kingdom Community Builders",3.41,"38114 86%; 38111 14%",""
"Klondike",0.89,"38107 97%; 38104 3%","Midtown"
"Klondike Smokey City CDC",2.63,"38107 100%",""
"Lemoyne Owen College CDC",4.25,"38106 47%; 38126 35%; 38104 18%","Midtown; South Memphis"
"Main Street Mall",0.16,"38103 100%","Downtown"
"Mallory Heights CDC",1.67,"38109 100%",""
"Memphis Medical District Collaborative",6.13,"38105 45%; 38104 32%; 38103 16%; 38126 6%","Downtown; Midtown; South Memphis"
"Midtown Memphis Development Corp.",17.78,"38104 57%; 38112 16%; 38114 13%; 38106 12%","Midtown; South Memphis"
"Mustard Seed, Inc.",5.12,"38126 91%; 38103 6%; 38106 3%","Downtown; South Memphis"
"New Chicago CDC",3.8,"38107 95%; 38108 5%",""
"Oasis of Hope",0.51,"38107 100%",""
"Oka Nashoba CDC",7.34,"38108 68%; 38127 22%; 38107 9%","Frayser"
"Orange Mound Development Corp.",3.16,"38114 82%; 38111 18%",""
"Pigeon Roost Development Corp.",0.82,"38114 99%",""
"Promise CDC",1.06,"38107 100%",""
"Raleigh CDC",35.8,"38128 98%; 38108 2%","Raleigh"
"Riverview Kansas CDC",5.87,"38109 66%; 38106 34%","South Memphis"
"SCORE (South City) CDC",2.99,"38126 79%; 38103 20%","Downtown; South Memphis"
"South City",4.25,"38126 60%; 38103 34%; 38106 6%","Downtown; South Memphis"
"South Memphis Alliance",61.97,"38106 40%; 38114 22%; 38109 20%; 38116 9%; 38126 3%; 38132 3%; 38104 2%","Midtown; South Memphis; Whitehaven"
"The Core",3.26,"38103 75%; 38105 25%","Downtown"
"The Power Center CDC",26.47,"38115 72%; 38141 28%",""
"The Stone CDC",0.71,"38126 100%","South Memphis"
"The Works, Inc.",1.62,"38106 100%","South Memphis"
"Transformations Economic and Comm. Development",77.66,"38118 32%; 38115 28%; 38141 20%; 38125 19%",""
"University Neighborhoods Development Corp.",13.26,"38111 82%; 38117 12%; 38104 5%","East Memphis; Midtown"
"Uptown TIF",9.75,"38105 36%; 38107 34%; 38103 30%","Downtown"
"Victorian Village CDC",0.48,"38105 88%; 38103 12%","Downtown"
"Vollintine Evergreen Community Association",4.21,"38107 72%; 38112 20%; 38108 7%","Midtown"
