"zip","draft_neighborhood","population","population_moe","share_2020_pop_in_city","pct_black_nh","pct_white_nh","pct_hispanic","pct_poverty","per_capita_income","pct_renter","pct_no_vehicle","requests_12m","requests_per_1000"
"38109",,42500,3430,1,94.9,1.8,0.8,32.4,21900,44.7,11.3,12066,283.9
"38111",,41920,3470,1,47.2,33.3,13.3,26.1,38000,55.5,12.7,8713,207.9
"38116","Whitehaven",39990,3150,1,91.7,3.7,3.4,31.2,24100,56.9,13.2,7567,189.2
"38118",,39170,3750,1,72.2,4.6,20.5,29.9,22100,60.2,7.7,7331,187.1
"38115",,38400,2690,1,80.6,6.3,11.5,19.2,25500,76.1,12.9,5043,131.3
"38128","Raleigh",37900,3270,0.885,77.3,8.7,10.5,20.6,25600,58.6,10.1,6142,162.1
"38127","Frayser",35720,3260,0.905,88.7,6.6,2.9,39.4,17800,58.5,12.4,7486,209.6
"38016","Cordova",30740,2630,0.706,51.6,32,7,9.2,40300,47.1,3.8,6250,203.3
"38134",,29760,2820,0.675,52.8,19.2,20.7,14.1,26500,67.1,5.5,3308,111.1
"38122",,25950,2460,1,20.2,33.1,38.1,27.8,23700,47,8.4,5206,200.6
"38117","East Memphis",25850,1800,1,13,73.2,9.1,10,65200,26.1,4.4,6532,252.7
"38119","East Memphis",23210,1870,1,37.9,48.2,5.6,8,53300,38.8,2.4,4430,190.9
"38104","Midtown",22550,1390,1,30.7,58.4,4.8,15.8,52800,62.4,10.6,5450,241.6
"38106","South Memphis",21360,1880,1,92.2,2.9,3,40.7,21200,59.4,15.7,7106,332.7
"38114",,20490,1830,1,87.7,6.1,5,33,23600,54.6,13.9,7001,341.6
"38018","Cordova",17520,2260,0.441,48.3,34.7,7,4.4,40500,46.8,3.9,3321,189.6
"38141",,17390,2460,0.715,85.9,4.2,8.2,14.5,25800,45.2,4.4,3629,208.7
"38112","Midtown",16990,1550,1,43.1,37.3,14.5,29.1,32900,49.2,14.4,3909,230
"38108",,16580,2020,1,55.8,14.4,28.2,29.8,21000,54.7,18.8,3823,230.6
"38103","Downtown",14370,1170,1,28.2,57.2,4.2,9.9,73000,69.7,6.7,815,56.7
"38107",,13940,1180,1,73.9,19.3,2.4,30.3,29500,60.1,20,3807,273.1
"38120","East Memphis",13310,1350,1,5.3,83.2,4.1,8.4,106600,29.7,4.2,2546,191.3
"38133",,9860,1790,0.481,40.8,28.3,24.4,10.2,31200,48.9,5.2,1794,182
"38125",,7430,1180,0.164,70.7,12.5,11.4,6.4,36400,49.6,0.4,1564,210.4
"38126","South Memphis",5980,840,1,88.8,7.1,1.2,50,16700,87.1,30.3,876,146.5
"38105","Downtown",5750,590,1,71.5,14,5.7,26.4,29700,84,25.5,991,172.4
"38135",,2700,1120,0.06,81.7,13.1,3.7,12.4,23400,51.9,11.9,306,113.2
"38002",,520,330,0.019,79.6,11.1,1.1,4.8,38700,35.8,0,103,199.3
"38138",,200,40,0.008,21,69.8,2.2,12.8,112000,46.2,25.6,16,80.1
"38152",,130,40,1,33.7,34.7,2,54,35800,80.1,31.9,18,141.9
"38132",,60,20,1,52.7,14.2,32.7,22.3,15700,37.9,1.8,56,1017.8
"38131",,10,10,1,52.7,14.2,32.7,22.3,15700,37.9,1.8,8,560.9
"38113",,0,10,1,,,,,,,,12,Inf
