"geo_type","geo_id","variable","estimate","moe"
"citywide","4748000","B01003_001",618259.275,12156.278
"citywide","4748000","B03002_001",618259.275,12156.278
"citywide","4748000","B03002_003",138461.341,4193.905
"citywide","4748000","B03002_004",387104.713,10447.529
"citywide","4748000","B03002_012",64437.236,4954.693
"citywide","4748000","B11001_001",252924.981,4056.332
"citywide","4748000","B19313_001",20537382163.411,642697412.853
"citywide","4748000","B25002_001",289526.163,4139.104
"citywide","4748000","B25002_003",36601.183,1586.013
"citywide","4748000","B25003_001",252924.981,4056.332
"citywide","4748000","B25003_003",138582.133,3411.286
"citywide","4748000","B25044_001",252924.981,4056.332
"citywide","4748000","B25044_003",4657.785,634.17
"citywide","4748000","B25044_010",21186.967,1367.983
"citywide","4748000","B28002_001",252924.981,4056.332
"citywide","4748000","B28002_013",23408.073,1405.575
"citywide","4748000","C17002_001",604497.331,12045.809
"citywide","4748000","C17002_002",72512.48,4732.972
"citywide","4748000","C17002_003",66966.843,5063.558
"citywide","4748000","POP100",629002,0
"citywide","4748000","POP100_all",629002,0
"commission_district","1","B01003_001",24838.696,2562.206
"commission_district","1","B03002_001",24838.696,2562.206
"commission_district","1","B03002_003",7534.099,1071.622
"commission_district","1","B03002_004",12209.337,2285.605
"commission_district","1","B03002_012",3305.606,1010.147
"commission_district","1","B11001_001",10514.96,933.145
"commission_district","1","B19313_001",886038808.915,92289816.048
"commission_district","1","B25002_001",11426.634,966.601
"commission_district","1","B25002_003",911.674,423.965
"commission_district","1","B25003_001",10514.96,933.145
"commission_district","1","B25003_003",5047.387,674.923
"commission_district","1","B25044_001",10514.96,933.145
"commission_district","1","B25044_003",103.381,88.894
"commission_district","1","B25044_010",361.728,214.089
"commission_district","1","B28002_001",10514.96,933.145
"commission_district","1","B28002_013",678.469,300.541
"commission_district","1","C17002_001",24726.823,2561.8
"commission_district","1","C17002_002",1352.466,926.403
"commission_district","1","C17002_003",1474.79,716.004
"commission_district","1","POP100",26872,0
"commission_district","1","POP100_all",73095,0
"commission_district","10","B01003_001",72823.19,4388.39
"commission_district","10","B03002_001",72823.19,4388.39
"commission_district","10","B03002_003",4541.805,659.82
"commission_district","10","B03002_004",58684.836,3936.173
"commission_district","10","B03002_012",7758.151,1845.072
"commission_district","10","B11001_001",29133.904,1416.054
"commission_district","10","B19313_001",1576316526.655,107308217.815
"commission_district","10","B25002_001",36426.142,1470.62
"commission_district","10","B25002_003",7292.238,609.827
"commission_district","10","B25003_001",29133.904,1416.054
"commission_district","10","B25003_003",17733.551,1226.763
"commission_district","10","B25044_001",29133.904,1416.054
"commission_district","10","B25044_003",745.629,229.184
"commission_district","10","B25044_010",2995.357,531.903
"commission_district","10","B28002_001",29133.904,1416.054
"commission_district","10","B28002_013",4258.142,584.322
"commission_district","10","C17002_001",71822.091,4307.539
"commission_district","10","C17002_002",13506.244,2018.052
"commission_district","10","C17002_003",10876.744,1881.319
"commission_district","10","POP100",72448,0
"commission_district","10","POP100_all",72448,0
"commission_district","11","B01003_001",70888.346,4874.798
"commission_district","11","B03002_001",70888.346,4874.798
"commission_district","11","B03002_003",3569.421,768.637
"commission_district","11","B03002_004",55310.098,4500.393
"commission_district","11","B03002_012",10736.185,1960.615
"commission_district","11","B11001_001",24743.696,1286.521
"commission_district","11","B19313_001",1696650776.387,180472095.531
"commission_district","11","B25002_001",28199.33,1293.112
"commission_district","11","B25002_003",3455.634,474.428
"commission_district","11","B25003_001",24743.696,1286.521
"commission_district","11","B25003_003",14451.607,1102.643
"commission_district","11","B25044_001",24743.696,1286.521
"commission_district","11","B25044_003",316.348,147.743
"commission_district","11","B25044_010",1657.904,402.361
"commission_district","11","B28002_001",24743.696,1286.521
"commission_district","11","B28002_013",1753.626,353.928
"commission_district","11","C17002_001",70787.776,4873.304
"commission_district","11","C17002_002",6409.171,1489.893
"commission_district","11","C17002_003",9342.097,2546.95
"commission_district","11","POP100",72268,0
"commission_district","11","POP100_all",72268,0
"commission_district","12","B01003_001",26665.712,1979.674
"commission_district","12","B03002_001",26665.712,1979.674
"commission_district","12","B03002_003",2298.873,352.087
"commission_district","12","B03002_004",20467.52,1886.585
"commission_district","12","B03002_012",2722.284,676.135
"commission_district","12","B11001_001",11922.986,791.531
"commission_district","12","B19313_001",912038812.726,92044512.539
"commission_district","12","B25002_001",13954.052,808.464
"commission_district","12","B25002_003",2031.066,387.326
"commission_district","12","B25003_001",11922.986,791.531
"commission_district","12","B25003_003",8707.627,708.426
"commission_district","12","B25044_001",11922.986,791.531
"commission_district","12","B25044_003",65.073,63.574
"commission_district","12","B25044_010",1053.196,307.815
"commission_district","12","B28002_001",11922.986,791.531
"commission_district","12","B28002_013",393.349,137.879
"commission_district","12","C17002_001",26468.159,1975.189
"commission_district","12","C17002_002",2032.814,622.437
"commission_district","12","C17002_003",1764.838,469.315
"commission_district","12","POP100",27121,0
"commission_district","12","POP100_all",69613,0
"commission_district","13","B01003_001",70515.077,3061.402
"commission_district","13","B03002_001",70515.077,3061.402
"commission_district","13","B03002_003",41025.467,2202.115
"commission_district","13","B03002_004",16205.258,1823.693
"commission_district","13","B03002_012",8967.803,1519.261
"commission_district","13","B11001_001",30398.89,1234.846
"commission_district","13","B19313_001",3332487480.128,219446683.683
"commission_district","13","B25002_001",33141.092,1252.035
"commission_district","13","B25002_003",2742.202,439.498
"commission_district","13","B25003_001",30398.89,1234.846
"commission_district","13","B25003_003",13019.657,988.779
"commission_district","13","B25044_001",30398.89,1234.846
"commission_district","13","B25044_003",562.029,229.748
"commission_district","13","B25044_010",1865.228,440.81
"commission_district","13","B28002_001",30398.89,1234.846
"commission_district","13","B28002_013",2034.445,471.723
"commission_district","13","C17002_001",65420.692,3008.373
"commission_district","13","C17002_002",5785.537,1141.22
"commission_district","13","C17002_003",5674.314,1359.974
"commission_district","13","POP100",73805,0
"commission_district","13","POP100_all",73805,0
"commission_district","2","B01003_001",3959.892,1099.474
"commission_district","2","B03002_001",3959.892,1099.474
"commission_district","2","B03002_003",1377.676,314.292
"commission_district","2","B03002_004",2119.054,1026.327
"commission_district","2","B03002_012",149.906,117.014
"commission_district","2","B11001_001",1604.243,328.508
"commission_district","2","B19313_001",162465071.596,46722038.455
"commission_district","2","B25002_001",1809.213,343.653
"commission_district","2","B25002_003",204.971,144.31
"commission_district","2","B25003_001",1604.243,328.508
"commission_district","2","B25003_003",826.941,285.371
"commission_district","2","B25044_001",1604.243,328.508
"commission_district","2","B25044_003",9,18.31
"commission_district","2","B25044_010",35.607,58.913
"commission_district","2","B28002_001",1604.243,328.508
"commission_district","2","B28002_013",45.144,60.149
"commission_district","2","C17002_001",3918.577,1085.408
"commission_district","2","C17002_002",109.096,127.298
"commission_district","2","C17002_003",53.542,62.275
"commission_district","2","POP100",3683,0
"commission_district","2","POP100_all",73265,0
"commission_district","3","B01003_001",0,0
