"geo_type","geo_id","parcels"
"citywide","4748000",236552
"zcta","38002",336
"zcta","38016",10250
"zcta","38018",5251
"zcta","38103",5110
"zcta","38104",8287
"zcta","38105",1769
"zcta","38106",14530
"zcta","38107",9344
"zcta","38108",9765
"zcta","38109",21886
"zcta","38111",16105
"zcta","38112",6872
"zcta","38113",170
"zcta","38114",11571
"zcta","38115",7983
"zcta","38116",11238
"zcta","38117",12383
"zcta","38118",12841
"zcta","38119",7280
"zcta","38120",5879
"zcta","38122",10245
"zcta","38125",2039
"zcta","38126",2876
"zcta","38127",14230
"zcta","38128",11884
"zcta","38131",53
"zcta","38132",106
"zcta","38133",3474
"zcta","38134",6389
"zcta","38135",596
"zcta","38138",35
"zcta","38141",5774
"zcta","38152",1
"council_district","1",25622
"council_district","2",29762
"council_district","3",25542
"council_district","4",37586
"council_district","5",36082
"council_district","6",42632
"council_district","7",39321
"super_district","8",126863
"super_district","9",109684
"reference_neighborhood","Cordova",15501
"reference_neighborhood","Downtown",6879
"reference_neighborhood","East Memphis",25542
"reference_neighborhood","Frayser",14230
"reference_neighborhood","Midtown",15159
"reference_neighborhood","Raleigh",11884
"reference_neighborhood","South Memphis",17406
"reference_neighborhood","Whitehaven",11238
