"request_type","rows_at_bootstrap","category","headline","target_low_bd","target_high_bd","target_source_url"
"SWM-Missed Bulk Trash",92087,"SWM",TRUE,,,""
"SWM-Garbage Missed",31929,"SWM",TRUE,,,""
"SWM-Missing Cart",26963,"SWM",FALSE,,,""
"SWM-Cart Repair",22715,"SWM",FALSE,,,""
"SWM-Recycling Missed",20208,"SWM",TRUE,,,""
"PW (SM)-Potholes",18738,"PW (SM)",TRUE,5,10,"https://memphistn.gov/potholes-repairs-winter-weather"
"SWM-New Start Garbage Request",13039,"SWM",FALSE,,,""
"CW-Weeds Vacant Lots",11501,"CW",TRUE,,,""
"SWM-Dead Animal Collection",11461,"SWM",TRUE,,,""
"CE-Vehicle Violations",11401,"CE",FALSE,,,""
"CE-Code Miscellaneous",11375,"CE",FALSE,,,""
"CE-Weeds Occupied Property",9656,"CE",FALSE,,,""
"CW-Weeds Vacant Houses",8082,"CW",FALSE,,,""
"EE-Illegal Dumping",7175,"EE",TRUE,,,""
"EN-Maintain Signs",6930,"EN",TRUE,,,""
"SWM-Service Quality",6888,"SWM",FALSE,,,""
"EMI-Sewer Backup",5896,"EMI",FALSE,,,""
"SWM-Missing Recycle Cart",5582,"SWM",FALSE,,,""
"MCSC-Miscellaneous",5416,"MCSC",FALSE,,,""
"PW (ROW)-Roadside Litter",5259,"PW (ROW)",FALSE,,,""
"SWM-Recycle Cart Delivery",4578,"SWM",FALSE,,,""
"CE-Substandard,Derelict Struc",4571,"CE",FALSE,,,""
"PW (HE)-Street Cleaning",4571,"PW (HE)",FALSE,,,""
"SWM-Recycle Cart Repair",4303,"SWM",FALSE,,,""
"EMI-Cave In",3906,"EMI",FALSE,,,""
"SWM-Cart Lease Application",3507,"SWM",FALSE,,,""
"PW (DM)-PREVENTATIVE MAINTENANCE",2911,"PW (DM)",FALSE,,,""
"CE-Junky Yard",2891,"CE",FALSE,,,""
"PD-Abandoned Vehicles",2566,"PD",FALSE,,,""
"EN-Traffic Signal Maintenance",2451,"EN",FALSE,,,""
"SWM-Solid Waste Fees",2246,"SWM",FALSE,,,""
"SWM-Carts Out After-hours",2127,"SWM",FALSE,,,""
"SWM-Contaminated Recycle Cart",1913,"SWM",FALSE,,,""
"PW (ROW)-Trees Trimming",1760,"PW (ROW)",FALSE,,,""
"PW (ROW)-Right of Way Weeds",1602,"PW (ROW)",FALSE,,,""
"EN-Sidewalk Inspection",1581,"EN",FALSE,,,""
"PW (DM)-FLOODING LAND",1539,"PW (DM)",FALSE,,,""
"EN-Speed Hump Request",1500,"EN",FALSE,,,""
"EX-Animal Service",1443,"EX",FALSE,,,""
"PW (SM)-Street/Pavement Inspection",1365,"PW (SM)",FALSE,,,""
"PW (SM)-Trees in Street",1331,"PW (SM)",FALSE,,,""
"SWM-Pick-Up Extra Cart",1221,"SWM",FALSE,,,""
"PW (DM)-FLOODING STREET",1137,"PW (DM)",FALSE,,,""
"PW (DM)-Drain Inlet Clogged",1024,"PW (DM)",FALSE,,,""
"SWM-Garbage Waiver Request",1008,"SWM",FALSE,,,""
"SWM-Recycle Bin New Start",976,"SWM",FALSE,,,""
"COMM - Miscellaneous",923,"COMM",FALSE,,,""
"PW (DM)-DITCH MAINTENANCE",856,"PW (DM)",FALSE,,,""
"SWM-SWF Discount Prog.Request",800,"SWM",FALSE,,,""
"SWM-Recycle Cart Pickup",678,"SWM",FALSE,,,""
"PW (ROW)-Alley Cutting",530,"PW (ROW)",FALSE,,,""
"FS-Fire Hydrants",488,"FS",FALSE,,,""
"PW (SM)-Street Cracking/Crumbling",466,"PW (SM)",FALSE,,,""
"PW (DM)-REPAIR INLET",462,"PW (DM)",FALSE,,,""
"EN-Construction Inspection",449,"EN",FALSE,,,""
"PW (DM)-CAVITY IN STREET",381,"PW (DM)",FALSE,,,""
"COMM-Junky Property",372,"COMM",FALSE,,,""
"PW (ROW)-Graffiti",315,"PW (ROW)",FALSE,,,""
"PW (ROW)-Alley Debris",314,"PW (ROW)",FALSE,,,""
"PW (DM)-REPAIR",284,"PW (DM)",FALSE,,,""
"EMI-Manhole Cover Problem",282,"EMI",FALSE,,,""
"COMM-Weeds Occupied Property",259,"COMM",FALSE,,,""
"SWM-Switched Cart",251,"SWM",FALSE,,,""
"EN-Speed Hump Maintenance",238,"EN",FALSE,,,""
"SWM-Burnt Cart",234,"SWM",FALSE,,,""
"EN-Maintain Markings",233,"EN",FALSE,,,""
"PW (DM)-RESET/REPLACE INLET GRATE",219,"PW (DM)",FALSE,,,""
"SWM-Illegal Dumping",206,"SWM",FALSE,,,""
"SWM-Recycle Bin Request",187,"SWM",FALSE,,,""
"PW (DM)-CAVITY OFF STREET",182,"PW (DM)",FALSE,,,""
"SWM-Missing Lease Cart",166,"SWM",FALSE,,,""
"EMI-Sewer Odor",164,"EMI",FALSE,,,""
"PD-Quality of Life Issues",155,"PD",FALSE,,,""
"EN-New Signs",153,"EN",FALSE,,,""
"EE-Carts Out After Hours",141,"EE",FALSE,,,""
"EMI-Sewer Miscellaneous",132,"EMI",FALSE,,,""
"SWM-Leased Cart Pickup",119,"SWM",FALSE,,,""
"EMI-Street Sinking",115,"EMI",FALSE,,,""
"CE-Recreational Vehicle Illeg",111,"CE",FALSE,,,""
"PW (SW)-Storm Water",111,"PW (SW)",FALSE,,,""
"EMI-Sewage Spill/Overflow",105,"EMI",FALSE,,,""
"PN-Equipment",104,"PN",FALSE,,,""
"PW (DM)-RESET/REPLACE MANHOLE COVER",99,"PW (DM)",FALSE,,,""
"PW (SM)-Pot Hole in Alley",93,"PW (SM)",FALSE,,,""
"SWM-Code Violation",92,"SWM",FALSE,,,""
"EN-Traffic Signal Operation",82,"EN",FALSE,,,""
"SWM-Leased Cart Labeling",79,"SWM",FALSE,,,""
"COMM-Pot Holes",75,"COMM",FALSE,,,""
"EN-Street Improvements",72,"EN",FALSE,,,""
"COMM-Vehicle Violation",71,"COMM",FALSE,,,""
"PD-Criminal Activity",71,"PD",FALSE,,,""
"EMI-Repair Miscellaneous",67,"EMI",FALSE,,,""
"SWM-Bulk Trash Validation",67,"SWM",FALSE,,,""
"EN-Miscellaneous",61,"EN",FALSE,,,""
"EN-Curb/Gutter Repair",59,"EN",FALSE,,,""
"PW (SM)-Guardrails",50,"PW (SM)",FALSE,,,""
"PW (HE)-Ditch",48,"PW (HE)",FALSE,,,""
"EN-New Markings",46,"EN",FALSE,,,""
"GS-Tree Removal",46,"GS",FALSE,,,""
"EN-Drainage Improvement",44,"EN",FALSE,,,""
"PN-Mowing",43,"PN",FALSE,,,""
"EN-Markings/Signs",42,"EN",FALSE,,,""
"SWM-Leased Cart Delivery",42,"SWM",FALSE,,,""
"CE-Open Storage and Furnishin",41,"CE",FALSE,,,""
"PD-Traffic Violations",41,"PD",FALSE,,,""
"COMM-Substandard Delelict, Struc",39,"COMM",FALSE,,,""
"EN-Curb Ramp Construction",38,"EN",FALSE,,,""
"PN-Trash Litter",38,"PN",FALSE,,,""
"PW (DM)-SITE CHECK",38,"PW (DM)",FALSE,,,""
"PN-Tree Crew",37,"PN",FALSE,,,""
"CE-Vacant Lot Code Violation",36,"CE",FALSE,,,""
"GS-Median Strip Maintenance",31,"GS",FALSE,,,""
"EN-Railroad R-O-W Maintenanc",29,"EN",FALSE,,,""
"CE-Accumulation of Stagnant",27,"CE",FALSE,,,""
"PD-Complaint about Service",27,"PD",FALSE,,,""
"MSCCE-Zoning Codes",24,"MSCCE",FALSE,,,""
"PW (DM)-CLEAN DRIVEWAY PIPE",23,"PW (DM)",FALSE,,,""
"PW (SM)-Edge of Street Damage",23,"PW (SM)",FALSE,,,""
"GS-Grass Cutting",21,"GS",FALSE,,,""
"CE-Downtown Cleanup",19,"CE",FALSE,,,""
"PN-Lights in the Parks",19,"PN",FALSE,,,""
"PW (DM)-CLAIM FLOODING STREET",19,"PW (DM)",FALSE,,,""
"SWM-Strike Team",19,"SWM",FALSE,,,""
"EN-Curb Ramp Request",18,"EN",FALSE,,,""
"PW (DM)-FLOODING STRUCTURE",18,"PW (DM)",FALSE,,,""
"EN-Railroad Inspection",16,"EN",FALSE,,,""
"FS-Anti-Neglect",16,"FS",FALSE,,,""
